noise_density,noise_magnitude,method,nmi,simulation,signal_strength
0.1,2.0,spectral_unnormalized,0.6770006327837454,4,2.0
0.1,2.0,rpca,0.6770006327837457,4,2.0
0.1,2.0,outlier_pursuit,0.018639764244343528,4,2.0
0.1,2.0,spectral_unnormalized,0.7648442977525686,5,2.0
0.1,2.0,rpca,0.7648442977525683,5,2.0
0.1,2.0,outlier_pursuit,0.018639764244343528,5,2.0
0.1,2.0,spectral_unnormalized,0.7287008798015754,6,2.0
0.1,2.0,rpca,0.7961285220549096,6,2.0
0.1,2.0,outlier_pursuit,0.018639764244343528,6,2.0
0.1,2.0,spectral_unnormalized,0.7149460394223506,7,2.0
0.1,2.0,rpca,0.6770006327837457,7,2.0
0.1,2.0,outlier_pursuit,0.018639764244343528,7,2.0
0.1,2.0,spectral_unnormalized,0.6725550808455241,8,2.0
0.1,2.0,rpca,0.6917588737329794,8,2.0
0.1,2.0,outlier_pursuit,0.018639764244343528,8,2.0
0.1,2.0,spectral_unnormalized,0.8079616479391557,9,2.0
0.1,2.0,rpca,0.8347636587075117,9,2.0
0.1,2.0,outlier_pursuit,0.018639764244343528,9,2.0
0.1,4.0,spectral_unnormalized,0.7149460394223505,0,2.0
0.1,4.0,rpca,0.6725550808455242,0,2.0
0.1,4.0,outlier_pursuit,0.018639764244343528,0,2.0
0.1,4.0,spectral_unnormalized,0.6770006327837454,1,2.0
0.1,4.0,rpca,0.7149460394223505,1,2.0
0.1,4.0,outlier_pursuit,0.018639764244343528,1,2.0
0.1,4.0,spectral_unnormalized,0.7265356414540423,2,2.0
0.1,4.0,rpca,0.6597573034496935,2,2.0
0.1,4.0,outlier_pursuit,0.018639764244343528,2,2.0
0.1,4.0,spectral_unnormalized,0.6770006327837454,3,2.0
0.1,4.0,rpca,0.7265356414540423,3,2.0
0.1,4.0,outlier_pursuit,0.018639764244343528,3,2.0
0.1,4.0,spectral_unnormalized,0.7149460394223506,4,2.0
0.1,4.0,rpca,0.6770006327837457,4,2.0
0.1,4.0,outlier_pursuit,0.018639764244343528,4,2.0
0.1,4.0,spectral_unnormalized,0.7577078109175857,5,2.0
0.1,4.0,rpca,0.7149460394223505,5,2.0
0.1,4.0,outlier_pursuit,0.018639764244343528,5,2.0
0.1,4.0,spectral_unnormalized,0.7610260716417302,6,2.0
0.1,4.0,rpca,0.7961285220549096,6,2.0
0.1,4.0,outlier_pursuit,0.018639764244343528,6,2.0
0.1,4.0,spectral_unnormalized,0.6770006327837454,7,2.0
0.1,4.0,rpca,0.6425925571552905,7,2.0
0.1,4.0,outlier_pursuit,0.018639764244343528,7,2.0
0.1,4.0,spectral_unnormalized,0.6725550808455241,8,2.0
0.1,4.0,rpca,0.6917588737329794,8,2.0
0.1,4.0,outlier_pursuit,0.018639764244343528,8,2.0
0.1,4.0,spectral_unnormalized,0.7577078109175857,9,2.0
0.1,4.0,rpca,0.8585594574581797,9,2.0
0.1,4.0,outlier_pursuit,0.018639764244343528,9,2.0
0.1,6.0,spectral_unnormalized,0.7149460394223505,0,2.0
0.1,6.0,rpca,0.7149460394223504,0,2.0
0.1,6.0,outlier_pursuit,0.018639764244343528,0,2.0
0.1,6.0,spectral_unnormalized,0.6770006327837454,1,2.0
0.1,6.0,rpca,0.7149460394223505,1,2.0
0.1,6.0,outlier_pursuit,0.018639764244343528,1,2.0
0.1,6.0,spectral_unnormalized,0.7265356414540423,2,2.0
0.1,6.0,rpca,0.6597573034496935,2,2.0
0.1,6.0,outlier_pursuit,0.018639764244343528,2,2.0
0.1,6.0,spectral_unnormalized,0.6770006327837454,3,2.0
0.1,6.0,rpca,0.7265356414540423,3,2.0
0.1,6.0,outlier_pursuit,0.018639764244343528,3,2.0
0.1,6.0,spectral_unnormalized,0.7149460394223506,4,2.0
0.1,6.0,rpca,0.7149460394223506,4,2.0
0.1,6.0,outlier_pursuit,0.018639764244343528,4,2.0
0.1,6.0,spectral_unnormalized,0.7577078109175857,5,2.0
0.1,6.0,rpca,0.7149460394223505,5,2.0
0.1,6.0,outlier_pursuit,0.018639764244343528,5,2.0
0.1,6.0,spectral_unnormalized,0.7610260716417302,6,2.0
0.1,6.0,rpca,0.7961285220549096,6,2.0
0.1,6.0,outlier_pursuit,0.018639764244343528,6,2.0
0.1,6.0,spectral_unnormalized,0.6770006327837454,7,2.0
0.1,6.0,rpca,0.6425925571552905,7,2.0
0.1,6.0,outlier_pursuit,0.018639764244343528,7,2.0
0.1,6.0,spectral_unnormalized,0.6725550808455241,8,2.0
0.1,6.0,rpca,0.6917588737329794,8,2.0
0.1,6.0,outlier_pursuit,0.018639764244343528,8,2.0
0.1,6.0,spectral_unnormalized,0.8079616479391555,9,2.0
0.1,6.0,rpca,0.8585594574581797,9,2.0
0.1,6.0,outlier_pursuit,0.018639764244343528,9,2.0
0.1,8.0,spectral_unnormalized,0.7149460394223505,0,2.0
0.1,8.0,rpca,0.7149460394223505,0,2.0
0.1,8.0,outlier_pursuit,0.018639764244343528,0,2.0
0.1,8.0,spectral_unnormalized,0.6770006327837454,1,2.0
0.1,8.0,rpca,0.7149460394223505,1,2.0
0.1,8.0,outlier_pursuit,0.018639764244343528,1,2.0
0.1,8.0,spectral_unnormalized,0.7265356414540423,2,2.0
0.1,8.0,rpca,0.6597573034496935,2,2.0
0.1,8.0,outlier_pursuit,0.018639764244343528,2,2.0
0.1,8.0,spectral_unnormalized,0.6770006327837454,3,2.0
0.1,8.0,rpca,0.6770006327837454,3,2.0
0.1,8.0,outlier_pursuit,0.018639764244343528,3,2.0
0.1,8.0,spectral_unnormalized,0.7149460394223506,4,2.0
0.1,8.0,rpca,0.7149460394223506,4,2.0
0.1,8.0,outlier_pursuit,0.018639764244343528,4,2.0
0.1,8.0,spectral_unnormalized,0.7577078109175857,5,2.0
0.1,8.0,rpca,0.7149460394223505,5,2.0
0.1,8.0,outlier_pursuit,0.018639764244343528,5,2.0
0.1,8.0,spectral_unnormalized,0.7265356414540421,6,2.0
0.1,8.0,rpca,0.7961285220549096,6,2.0
0.1,8.0,outlier_pursuit,0.018639764244343528,6,2.0
0.1,8.0,spectral_unnormalized,0.6770006327837454,7,2.0
0.1,8.0,rpca,0.6425925571552905,7,2.0
0.1,8.0,outlier_pursuit,0.018639764244343528,7,2.0
0.1,8.0,spectral_unnormalized,0.6725550808455241,8,2.0
0.1,8.0,rpca,0.6917588737329794,8,2.0
0.1,8.0,outlier_pursuit,0.018639764244343528,8,2.0
0.1,8.0,spectral_unnormalized,0.8079616479391555,9,2.0
0.1,8.0,rpca,0.8585594574581797,9,2.0
0.1,8.0,outlier_pursuit,0.018639764244343528,9,2.0
0.1,10.0,spectral_unnormalized,0.5697389043881019,0,2.0
0.1,10.0,rpca,0.7149460394223505,0,2.0
0.1,10.0,outlier_pursuit,0.018639764244343528,0,2.0
0.1,10.0,spectral_unnormalized,0.6349910030198425,1,2.0
0.1,10.0,rpca,0.7149460394223505,1,2.0
0.1,10.0,outlier_pursuit,0.018639764244343528,1,2.0
0.1,10.0,spectral_unnormalized,0.7265356414540423,2,2.0
