sigma,method,nmi,simulation,signal_strength
1.931,spectral_unnormalized,1.0,7,0.5363711967594598
1.931,rpca,1.0,7,0.5363711967594598
1.931,outlier_pursuit,0.018639764244343528,7,0.5363711967594598
1.931,spectral_unnormalized,1.0,8,0.5363711967594598
1.931,rpca,1.0,8,0.5363711967594598
1.931,outlier_pursuit,0.018639764244343528,8,0.5363711967594598
1.931,spectral_unnormalized,1.0,9,0.5363711967594598
1.931,rpca,1.0,9,0.5363711967594598
1.931,outlier_pursuit,0.018639764244343528,9,0.5363711967594598
2.683,spectral_unnormalized,1.0,0,0.2778360847672338
2.683,rpca,1.0,0,0.2778360847672338
2.683,outlier_pursuit,0.018639764244343528,0,0.2778360847672338
2.683,spectral_unnormalized,1.0,1,0.2778360847672338
2.683,rpca,1.0,1,0.2778360847672338
2.683,outlier_pursuit,0.018639764244343528,1,0.2778360847672338
2.683,spectral_unnormalized,1.0,2,0.2778360847672338
2.683,rpca,1.0,2,0.2778360847672338
2.683,outlier_pursuit,0.018639764244343528,2,0.2778360847672338
2.683,spectral_unnormalized,1.0,3,0.2778360847672338
2.683,rpca,1.0,3,0.2778360847672338
2.683,outlier_pursuit,0.018639764244343528,3,0.2778360847672338
2.683,spectral_unnormalized,1.0,4,0.2778360847672338
2.683,rpca,1.0,4,0.2778360847672338
2.683,outlier_pursuit,0.018639764244343528,4,0.2778360847672338
2.683,spectral_unnormalized,1.0,5,0.2778360847672338
2.683,rpca,1.0,5,0.2778360847672338
2.683,outlier_pursuit,0.018639764244343528,5,0.2778360847672338
2.683,spectral_unnormalized,1.0,6,0.2778360847672338
2.683,rpca,1.0,6,0.2778360847672338
2.683,outlier_pursuit,0.018639764244343528,6,0.2778360847672338
2.683,spectral_unnormalized,1.0,7,0.2778360847672338
2.683,rpca,0.9291252238549075,7,0.2778360847672338
2.683,outlier_pursuit,0.018639764244343528,7,0.2778360847672338
2.683,spectral_unnormalized,1.0,8,0.2778360847672338
2.683,rpca,1.0,8,0.2778360847672338
2.683,outlier_pursuit,0.018639764244343528,8,0.2778360847672338
2.683,spectral_unnormalized,1.0,9,0.2778360847672338
2.683,rpca,0.9291252238549075,9,0.2778360847672338
2.683,outlier_pursuit,0.018639764244343528,9,0.2778360847672338
